duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000000,0,0.003904,0.132726,0.247886,0.150293,0.005882,0.190306,0.353287,0.401850,0.000000,0.000061,0.002991,0.000000,3.739678,3.333232,1.815871,1.109523,0.600366,1.107325,0.799633,0.883760,3.321425,3.318678,0.802343,5.122820,5.141580,0.000000
0.050060,0,0.000000,0.128823,0.240079,0.002928,0.000000,0.177619,0.272284,0.723330,0.000000,0.000061,0.002930,0.000000,3.725759,3.313745,1.813429,1.107325,0.609157,1.111720,0.799267,0.884297,3.322341,3.318678,0.802051,5.132200,5.125500,0.000000
0.100056,0,0.001952,0.132726,0.240079,0.004880,0.000000,0.191282,0.272284,0.714400,0.000000,0.000000,0.002930,0.000000,3.741535,3.311889,1.813917,1.111720,0.615384,1.110622,0.799633,0.883223,3.321425,3.317762,0.801757,5.126840,5.122820,0.000000
0.150055,0,0.000976,0.139558,0.237151,0.005856,0.000000,0.179571,0.274236,2.205710,0.000000,0.000183,0.002930,0.000000,3.714624,3.314673,1.804638,1.109523,0.615018,1.103296,0.799267,0.752405,3.324172,3.317762,0.801757,5.134880,5.129520,0.000000
0.200055,0,0.001952,0.130775,0.236175,0.003904,0.000000,0.180547,0.273260,0.544730,0.000000,0.000000,0.002930,0.000000,3.710912,3.310033,1.806592,1.113552,0.615750,1.107691,0.800365,0.752136,3.322341,3.318678,0.801757,5.122820,5.126840,0.000000
0.250062,0,0.000976,0.131751,0.237151,0.004880,0.000000,0.176643,0.272284,0.535800,0.000000,0.000122,0.002930,0.000000,3.711840,3.311889,1.806592,1.110622,0.614285,1.107325,0.799633,0.753211,3.321425,3.317762,0.802637,5.126840,5.124160,0.000000
0.300055,0,0.001952,0.130775,0.232271,0.003904,0.000000,0.179571,0.271309,0.535800,0.000000,0.000061,0.002930,0.000000,3.710912,3.313745,1.816848,1.114651,0.615384,1.103296,0.799267,0.752942,3.322341,3.320509,0.802930,5.121480,5.125500,0.000000
0.350062,0,0.000000,0.134678,0.240079,0.000000,0.000000,0.189330,0.270333,0.535800,0.000000,0.000122,0.002991,0.000000,3.710912,3.318385,1.813917,1.113552,0.614651,1.111354,0.799633,0.751330,3.320509,3.317762,0.802930,5.126840,5.128180,0.000000
0.400055,0,0.000000,0.135654,0.237151,0.005856,0.000000,0.179571,0.271309,0.732260,0.000000,0.000061,0.002991,0.000000,3.737823,3.310033,1.804638,1.113552,0.609157,1.110255,0.800365,0.882685,3.322341,3.316846,0.801757,5.137560,5.126840,0.000000
0.450063,0,0.000000,0.131751,0.236175,0.001952,0.000000,0.176643,0.274236,0.732260,0.000000,0.000122,0.002625,0.000000,3.741535,3.309105,1.806592,1.110255,0.616117,1.104394,0.799633,0.882685,3.322341,3.317762,0.802637,5.134880,5.126840,0.000000
0.500056,0,0.001952,0.135654,0.236175,0.004880,0.000000,0.180547,0.273260,0.535800,0.000000,0.000000,0.002808,0.000000,3.709984,3.310033,1.805615,1.107325,0.615018,1.111720,0.799633,0.752673,3.324172,3.317762,0.801465,5.134880,5.122820,0.000000
0.550056,0,0.000000,0.127847,0.234223,0.010735,0.000000,0.180547,0.273260,0.535800,0.000000,0.000061,0.002869,0.000000,3.709056,3.314673,1.800731,1.108058,0.615750,1.108790,0.799633,0.752673,3.320509,3.317762,0.802343,5.128180,5.129520,0.000000
